createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
05/16/2022 18:37:49,spidershot,12,9mm,0,v0.96.6-3707,86.27451,89,83,89,94,79,76,89,90,417.226816670878,388.142449118874,399.099537658691,375.288737577551,397.381758745979,472.149823357077,451.057004292806,441.408038330078,432.459134309188,144,153,2.20321417,132,
05/16/2022 18:36:39,spidershot,12,9mm,0,v0.96.6-3707,75.72254,84,78,85,89,74,61,65,74,416.810239458418,392.755211239769,381.62887393727,409.695155896639,357.782362365723,384.326343960232,485.232064639821,468.805532182966,482.256588206572,144,173,2.18644643,131,
05/16/2022 18:35:23,spidershot,12,9mm,0,v0.96.6-3707,81.52866,83,88,94,89,83,74,67,81,434.086346888888,392.03044128418,367.622879573277,423.811257171631,368.251550774825,429.870443725586,504.714099884033,502.263452529907,478.248160914371,138,157,2.13640141,128,
05/16/2022 18:34:01,spidershot,12,9mm,0,v0.96.6-3707,83.33333,79,78,89,85,89,80,81,84,453.535595260504,399.027359008789,386.460369403546,399.727009823448,446.656735374814,483.718182732077,540.642641339983,498.37208205003,497.564870834351,132,144,2.00296545,120,
05/16/2022 18:32:39,spidershot,12,9mm,0,v0.96.6-3707,83.67347,80,73,82,100,80,77,84,94,446.502825153408,414.778045654297,379.909930889423,441.658727309283,384.987932990579,479.404953806024,525.297402275933,479.428067888532,448.015218634354,134,147,2.05293322,123,
05/16/2022 18:31:28,spidershot,12,9mm,0,v0.96.6-3707,76.3975143,68,86,83,75,94,72,62,74,431.962290722391,390.886509895325,390.423836602105,400.773768776341,387.830504567999,404.5308464898,477.874955397386,487.877086094448,524.823468889509,138,161,2.052927,123,
05/15/2022 18:28:00,spidershot,12,9mm,0,v0.96.6-3707,81.8181839,88,72,75,84,95,89,85,67,431.826330212579,380.703621419271,394.847480773926,385.402028937089,418.165467914782,413.214767456055,436.974440630744,498.593897892879,546.772121653837,138,154,2.10312152,126,
05/15/2022 18:26:51,spidershot,12,9mm,0,v0.96.6-3707,81.16883,95,95,76,59,89,82,78,79,430.806588920758,385.786442806846,359.918251400902,435.553312301636,441.209582858615,442.027815874885,442.543891319862,425.086464436849,521.971212768555,140,154,2.08638668,125,
05/15/2022 18:25:44,spidershot,12,9mm,0,v0.96.6-3707,81.57895,76,76,90,84,95,68,82,78,430.428171500885,388.796718052455,442.878951128791,387.631479363692,384.346171985973,430.318345013787,478.01470375061,441.862340291341,536.615565999349,140,152,2.06948853,124,
05/15/2022 18:24:35,spidershot,12,9mm,0,v0.96.6-3707,83.00654,94,89,89,83,73,74,80,85,425.485392107282,382.235356947955,365.372834858141,398.652473958333,382.246476915148,458.701484680176,506.421180725098,455.748389748966,457.953058878581,140,153,2.11956453,127,
